33,14,DIPOSIT,1000,"2023-10-28 16:17:05"
34,14,DIPOSIT,3500,"2023-10-28 16:17:21"
35,14,DIPOSIT,1500,"2023-10-28 16:21:23"
36,14,DIPOSIT,500,"2023-10-28 16:22:18"
37,14,WITHDRAW,450,"2023-10-28 16:22:35"
38,14,WITHDRAW,1050,"2023-10-28 16:25:58"
39,14,WITHDRAW,500,"2023-10-28 16:30:11"
40,14,WITHDRAW,500,"2023-10-28 16:34:06"
41,14,WITHDRAW,500,"2023-10-29 12:04:49"
42,14,WITHDRAW,300,"2023-10-29 12:06:58"
43,14,WITHDRAW,200,"2023-10-30 07:57:02"
44,13,DIPOSIT,200,"2023-10-30 07:57:02"
45,14,DIPOSIT,500,"2023-10-30 09:13:37"
46,14,DIPOSIT,300,"2023-10-30 09:15:14"
47,14,WITHDRAW,800,"2023-10-30 09:15:26"
48,14,WITHDRAW,450,"2023-10-30 09:43:02"
49,13,DIPOSIT,450,"2023-10-30 09:43:02"
50,14,DIPOSIT,250,"2023-11-01 05:49:09"
51,14,DIPOSIT,300,"2023-11-01 11:19:31"
52,14,WITHDRAW,700,"2023-11-01 11:19:43"
53,14,WITHDRAW,400,"2023-11-01 11:20:05"
54,13,DIPOSIT,400,"2023-11-01 11:20:05"
55,14,DIPOSIT,600,"2023-11-01 11:24:06"
